TF,target
ATF2,SLC43A2
ATF2,ZSWIM7
ATF2,PIGL
ATF2,CPD
ATF2,NF1
ATF2,RARA
ATF2,STAT3
ATF2,TEX14
ATF2,VMP1
ATF2,TANC2
ATF2,ELF1
ATF2,RCBTB2
ATF2,DLEU2
ATF2,DLEU1
ATF2,JUND
ATF2,ZFP36
ATF2,FOSB
ATF2,FTL
ATF2,ZNF331
ATF2,PATL2
ATF2,MAP2K1
ATF2,BACH1
ATF2,LINC00649
ATF2,RUNX1
ATF2,MIS18BP1
ATF2,FBXO34
ATF2,DAAM1
ATF2,HIF1A
ATF2,RAD51B
ATF2,SIPA1L1
ATF2,TTLL5
ATF2,BID
ATF2,PISD
ATF2,TOM1
ATF2,SREBF2
ATF2,KIAA0930
ATF2,TYMP
ATF2,DENND5A
ATF2,SBF2
ATF2,PHF21A
ATF2,MPEG1
ATF2,NEAT1
ATF2,PAK1
ATF2,PICALM
ATF2,SESN3
ATF2,MAML2
ATF2,BIRC3
ATF2,FLI1
ATF2,MAPRE2
ATF2,PMAIP1
ATF2,LY86
ATF2,JARID2
ATF2,HLA-DMB
ATF2,HLA-DMA
ATF2,ANKS1A
ATF2,FKBP5
ATF2,AKIRIN2
ATF2,UBE2J1
ATF2,BACH2
ATF2,PRDM1
ATF2,FOXO3
ATF2,CDK19
ATF2,DSE
ATF2,MCM9
ATF2,TNFAIP3
ATF2,CITED2
ATF2,TMSB4X
ATF2,CASK
ATF2,BHLHE40
ATF2,ANKRD28
ATF2,NR1D2
ATF2,TRAK1
ATF2,FOXP1
ATF2,CMSS1
ATF2,FILIP1L
ATF2,NFKBIZ
ATF2,SIDT1
ATF2,TIPARP
ATF2,SKIL
ATF2,FNDC3B
ATF2,ST6GAL1
ATF2,TRIO
ATF2,ARSB
ATF2,ATG10
ATF2,MEF2C
ATF2,MCTP1
ATF2,ELL2
ATF2,IRF1
ATF2,ARHGAP26
ATF2,CD74
ATF2,DUSP1
ATF2,C9orf72
ATF2,DCAF10
ATF2,AGTPBP1
ATF2,DPYSL2
ATF2,PTK2B
ATF2,TACC1
ATF2,AP3M2
ATF2,LYN
ATF2,TPD52
ATF2,RIPK2
ATF2,NCALD
ATF2,EXT1
ATF2,SNTB1
ATF2,PVT1
ATF2,DENND3
ATF2,CREB5
ATF2,YWHAG
ATF2,SLC25A13
ATF2,KLRK1
ATF2,ETV6
ATF2,DUSP16
ATF2,STK38L
ATF2,MDM2
ATF2,KDM2B
ATF2,FBXL5
ATF2,KLF3
ATF2,KLHL5
ATF2,RHOH
ATF2,FAM13A
ATF2,EIF4E
ATF2,TBC1D9
ATF2,SNX25
ATF2,IL32
ATF2,SLC7A5
ATF2,RHOB
ATF2,DTNB
ATF2,RBKS
ATF2,RHOQ
ATF2,TBC1D8
ATF2,SPOPL
ATF2,ZEB2
ATF2,GPD2
ATF2,CERS6
ATF2,NABP1
ATF2,KLF7
ATF2,ISG15
ATF2,PDE4B
ATF2,EVI5
ATF2,ADAMTSL4-AS1
ATF2,LMNA
ATF2,GLUL
ATF2,NCF2
ATF2,ATF3
ATF2,DUSP10
ATF2,KLF6
ATF2,VIM
ATF2,CCDC6
ATF2,ANK3
ATF2,SRGN
ATF2,RRP12
ATF2,MXI1
ATF3,COMMD1
ATF3,CHMP1B
ATF3,GK
ATF3,CTSD
ATF3,TOM1
ATF3,ARFGEF2
ATF3,TBK1
ATF3,GNS
ATF3,SKAP2
ATF3,MEGF9
ATF3,STRBP
ATF3,NUBPL
ATF3,MAX
ATF3,ATXN3
ATF3,BNIP3L
ATF3,NSMCE2
ATF3,MAP2K1
ATF3,SUMF1
ATF3,ATG7
ATF3,NR1D2
ATF3,EIF4E
ATF3,TASP1
ATF3,AUTS2
ATF3,PHTF2
ATF3,SLC25A13
ATF3,CUX1
ATF3,PRKRIP1
ATF3,ORAI2
ATF3,PNPLA8
ATF3,AHCYL2
ATF3,PISD
ATF3,HMOX1
ATF3,PARVB
ATF3,SCO2
ATF3,TYMP
ATF3,ATG2A
ATF3,ARAP1
ATF3,PICALM
ATF3,MAPRE2
ATF3,BCL2
ATF3,IPMK
ATF3,MICU1
ATF3,MXI1
ATF3,SMC3
ATF3,ATP2B1
ATF3,SH2B3
ATF3,MED13L
ATF3,KDM2B
ATF3,RAD51B
ATF3,TTLL5
ATF3,BTBD7
ATF3,E2F3
ATF3,HLA-DMA
ATF3,ANKS1A
ATF3,STX7
ATF3,TNFAIP3
ATF3,SYNE1
ATF3,QKI
ATF3,TOM1L2
ATF3,SPECC1
ATF3,RARA
ATF3,GRN
ATF3,TRIM25
ATF3,SCPEP1
ATF3,YPEL2
ATF3,USP32
ATF3,BCAS3
ATF3,SLC39A11
ATF3,APP
ATF3,BACH1
ATF3,LINC00649
ATF3,AP1S2
ATF3,TAF1
ATF3,MTM1
ATF3,SRBD1
ATF3,PRKCE
ATF3,PPP3R1
ATF3,DUSP2
ATF3,TBC1D8
ATF3,CERS6
ATF3,STAT1
ATF3,KANSL1L
ATF3,RFX2
ATF3,CRTC1
ATF3,USF2
ATF3,RELB
ATF3,DHX34
ATF3,RORA
ATF3,MYO9A
ATF3,PPCDC
ATF3,CHSY1
ATF3,AP3M2
ATF3,FBXO32
ATF3,SLC25A33
ATF3,RUNX3
ATF3,HIVEP3
ATF3,ST6GALNAC3
ATF3,GTF2B
ATF3,EFCAB2
ATF3,BHLHE40
ATF3,ARHGEF3
ATF3,TMCC1
ATF3,BCL6
ATF3,ATP13A3
ATF3,TANGO6
ATF3,CDK8
ATF3,KPNA3
ATF3,ARSB
ATF3,FER
ATF3,DUSP1
ATF3,FBXL5
ATF3,BMP2K
ATF3,NR3C2
ATF3,MED27
ATRX,WDR45B
ATRX,SLC7A5
ATRX,ZNF10
BACH2,MAP2K1
BACH2,PPCDC
BACH2,SLCO3A1
BACH2,MCTP2
BACH2,IGF1R
BACH2,RAP1GAP2
BACH2,CD68
BACH2,STAT3
BACH2,ARHGAP27
BACH2,ERN1
BACH2,MAP2K6
BACH2,UBE2O
BACH2,MTAP
BACH2,TNFSF8
BACH2,PISD
BACH2,TOM1
BACH2,HMOX1
BACH2,PPP1R16B
BACH2,MT2A
BACH2,PDE4B
BACH2,ADAMTSL4-AS1
BACH2,ATF3
BACH2,RPS6KC1
BACH2,ITPKB
BACH2,ACYP2
BACH2,PLEK
BACH2,LIMS1
BACH2,MAP3K2
BACH2,MGAT5
BACH2,GTDC1
BACH2,NFE2L2
BACH2,STAT1
BACH2,CD28
BACH2,RHBDD1
BACH2,LRRFIP1
BACH2,BACH1
BACH2,RUNX1
BACH2,IL7R
BACH2,S100Z
BACH2,MEF2C
BACH2,CHD1
BACH2,DUSP1
BACH2,MYO9B
BACH2,JUND
BACH2,ZFP36
BACH2,BLVRB
BACH2,FTL
BACH2,ANKRD28
BACH2,LRRFIP2
BACH2,TRAK1
BACH2,TKT
BACH2,ARHGEF3
BACH2,SIDT1
BACH2,TMCC1
BACH2,TSC22D2
BACH2,TBL1XR1
BACH2,ST6GAL1
BACH2,NUBPL
BACH2,DAAM1
BACH2,SYNE2
BACH2,SPTLC2
BACH2,TNFAIP2
BACH2,E2F3
BACH2,HLA-DMB
BACH2,HLA-DMA
BACH2,FKBP5
BACH2,SUPT3H
BACH2,CYB5R4
BACH2,AKIRIN2
BACH2,UBE2J1
BACH2,PRDM1
BACH2,MAN1A1
BACH2,EZR
BACH2,TALDO1
BACH2,DENND5A
BACH2,TMEM41B
BACH2,SBF2
BACH2,NEAT1
BACH2,GSTP1
BACH2,FLI1
BACH2,ELF1
BACH2,RCBTB2
BACH2,DLEU2
BACH2,KLF6
BACH2,SVIL
BACH2,MAP3K8
BACH2,IPMK
BACH2,PSAP
BACH2,ZMIZ1
BACH2,TMSB4X
BACH2,SAT1
BACH2,ACTB
BACH2,SNX10
BACH2,SKAP2
BACH2,JAZF1
BACH2,CREB5
BACH2,IKZF1
BACH2,AUTS2
BACH2,YWHAG
BACH2,CDK14
BACH2,CDK6
BACH2,TACC1
BACH2,SNTB1
BACH2,PVT1
BACH2,ABHD3
BACH2,MAPRE2
BACH2,PIAS2
BACH2,NFATC1
BACH2,CD69
BACH2,CLEC7A
BACH2,GABARAPL1
BACH2,LRRK2
BACH2,PCED1B
BACH2,STAT6
BACH2,TBK1
BACH2,MDM2
BACH2,PLXNC1
BACH2,SEL1L3
BACH2,RHOH
BACH2,RBM47
BACH2,RUFY3
BACH2,SEC24D
BACH2,NEK1
BACH2,SNX25
BCL6,RCBTB2
BCL6,LDLRAD4
BCL6,TACC1
BCL6,DENND3
BCL6,ITGB1
BCL6,PIK3AP1
BCL6,FOS
BCL6,SERPINB1
BCL6,NEDD9
BCL6,HLA-DMB
BCL6,PRDM1
BCL6,PIGL
BCL6,KSR1
BCL6,NR4A1
BCL6,GNS
BCL6,DUSP6
BCL6,SH2B3
BCL6,MED13L
BCL6,ADAMTSL4-AS1
BCL6,ITPKB
BCL6,GPCPD1
BCL6,PPP1R16B
BCL6,BRD4
BCL6,USF2
BCL6,JAZF1
BCL6,CUX1
BCL6,PARVB
BCL6,ID2
BCL6,SRBD1
BCL6,RHOQ
BCL6,TET3
BCL6,AFF3
BCL6,MGAT5
BCL6,CXCR4
BCL6,ZEB2
BCL6,STAT1
BCL6,FOXP1
BCL6,SIDT1
BCL6,TBL1XR1
BCL6,ST6GAL1
BCL6,ETS1
BCL6,FLI1
BCL6,PPCDC
BCL6,LINC00649
BCL6,RUFY3
BCL6,ATF3
BCL6,SPI1
BCL6,NFKBIA
BCL6,PELI2
BCL6,DUSP1
BCL6,UBE2J1
BCL6,FOXO3
BCL6,BHLHE40
BCL6,FILIP1L
BCL6,TSC22D2
BCL6,TFRC
BCL6,SREBF2
BCL6,IKZF3
BCL6,STAT3
BCL6,VMP1
BCL6,SLC16A3
BCL6,ANKRD28
BCL6,LINC00877
BCL6,RUNX1
BCL6,MLLT3
BCL6,FOCAD
BCL6,INVS
BCL6,DENND1A
BCL6,TMX4
BCL6,RIN2
BCL6,TGIF2
BCL6,ALOX5AP
BCL6,ELF1
BCL6,DLEU2
BCL6,DLEU1
BCL6,SBF2
BCL6,MPEG1
BCL6,NEAT1
BCL6,PICALM
BCL6,CREBBP
BCL6,PRKRIP1
BCL6,ORAI2
BCL6,ATXN7L1
BCL6,KLHL5
BCL6,GPRIN3
BCL6,ARHGAP10
BCL6,SNX25
BCL6,CSGALNACT1
BCL6,PTK2B
BCL6,RAB11FIP1
BCL6,LYN
BCL6,STK3
BCL6,BCL2
BCL6,KLF6
BCL6,ANK3
BCL6,ABLIM1
BCL6,CRADD
BCL6,CHST11
BCL6,KDM2B
BCL6,DTNB
BCL6,MAP4K3
BCL6,WDPCP
BCL6,CAPG
BCL6,MAP3K2
BCL6,GTDC1
BCL6,NABP1
BCL6,RHBDD1
BCL6,LRRFIP1
BCL6,BASP1
BCL6,PDE4D
BCL6,EHD4
BCL6,ZNF609
BCL6,PEAK1
BCL6,BCL2A1
BCL6,SLCO3A1
BCL6,TMSB4X
BCL6,BACH2
BCL6,DSE
BCL6,STX7
BCL6,SGK1
BCL6,EZR
BCL6,SIPA1L3
BCL6,PDE4B
BCL6,ST6GALNAC3
BCL6,VAV3
BCL6,SPTLC2
BCL6,TYMP
BCL6,JUNB
BCL6,IER2
BCL6,MYO9B
BCL6,JUND
BCL6,TOM1L2
BCL6,SPECC1
BCL6,USP32
BCL6,CDK6
BCL6,GPR132
BCL6,COTL1
BCL6,ABHD12
BCL6,ATP1B3
BCL6,GNB5
BCL6,RORA
BCL6,CTSH
BCL6,WDFY2
BCL6,ZMIZ1
BCL6,FKBP5
BCL6,TNFAIP3
BCL6,CITED2
BCL6,NFIA
BCL6,SLC35D1
BCL6,CDC14A
BCL6,TRIO
BCL6,SERINC5
BCL6,IRF1
BCL6,IL1RAP
BCL6,CHD1
BCL6,SERPINB9
BCL6,PRKAG2
BCL6,CTSC
BCL6,TGFBR3
BCL6,ALMS1
BCL6,NUMB
BCL6,PHACTR2
BCL6,UBE4B
BCL6,ARFGEF2
BHLHE40,NEAT1
BHLHE40,PICALM
BHLHE40,FOXO3
BHLHE40,TNFAIP3
BHLHE40,SLC25A33
BHLHE40,HIF1A
BHLHE40,RARA
BHLHE40,USP32
BHLHE40,NR1D2
BHLHE40,CMC1
BHLHE40,C20orf27
BHLHE40,ID2
BHLHE40,PRKCE
BHLHE40,CCDC88A
BHLHE40,PDK1
BHLHE40,STAT1
BHLHE40,SLC7A5
BHLHE40,RAB11FIP1
BHLHE40,SLC20A2
BHLHE40,CUX1
BHLHE40,AHCYL2
BHLHE40,PSAP
BHLHE40,MXI1
BHLHE40,NR4A1
BHLHE40,STAT6
BHLHE40,LRP1
BHLHE40,KDM2B
BHLHE40,IER2
BHLHE40,IFI30
BHLHE40,FTL
BHLHE40,FCGRT
BHLHE40,LINC00649
BHLHE40,TOM1
BHLHE40,HMOX1
BHLHE40,PARVB
BHLHE40,DTNB
BHLHE40,ST3GAL5
BHLHE40,DUSP2
BHLHE40,LIMS1
BHLHE40,BAZ2B
BHLHE40,RHBDD1
BHLHE40,SUMF1
BHLHE40,ARHGEF3
BHLHE40,TSC22D2
BHLHE40,TBL1XR1
BHLHE40,ATP13A3
BHLHE40,MAP2K1
BHLHE40,ZNF710
BHLHE40,CHSY1
BHLHE40,EEPD1
BHLHE40,URGCP
BHLHE40,YWHAG
BHLHE40,EMILIN2
BHLHE40,BCL2
BHLHE40,CTCF
BHLHE40,RNF24
BHLHE40,GPCPD1
BHLHE40,PITPNA
BHLHE40,TOM1L2
BHLHE40,IKZF3
BHLHE40,STAT5A
BHLHE40,TRIM25
BHLHE40,ERN1
BHLHE40,UBE2O
BHLHE40,SIPA1L3
BHLHE40,ZFP36
BHLHE40,BLVRB
BHLHE40,RELB
BHLHE40,DHX34
BHLHE40,TBK1
BHLHE40,SH2B3
BHLHE40,ISG15
BHLHE40,UBE4B
BHLHE40,LRRC8D
BHLHE40,S100A6
BHLHE40,KLF6
BHLHE40,PFKFB3
BHLHE40,MAPK8
BHLHE40,PIK3AP1
BHLHE40,FBXO34
BHLHE40,FOS
BHLHE40,RIN3
BHLHE40,GPR132
BHLHE40,ABL1
BHLHE40,TRIO
BHLHE40,CYSTM1
BHLHE40,DUSP1
BHLHE40,RNF130
BHLHE40,CD83
BHLHE40,QKI
BHLHE40,TMEM41B
BHLHE40,MICAL2
BHLHE40,PHF21A
BHLHE40,ATG2A
BHLHE40,CTSW
BHLHE40,GSTP1
BHLHE40,ARAP1
BHLHE40,FCHSD2
BHLHE40,SLC25A37
BHLHE40,TACC1
BHLHE40,DENND3
BHLHE40,CREB5
BHLHE40,TIAM1
BHLHE40,LINC00877
BRD4,BID
BRD4,PPM1F
BRD4,LIMK2
BRD4,LGALS1
BRD4,EP300
BRD4,PARVB
BRD4,KIAA0930
BRD4,AQP3
BRD4,DCAF10
BRD4,STX17-AS1
BRD4,INVS
BRD4,PPP6C
BRD4,MCPH1
BRD4,MSRA
BRD4,TNFRSF10B
BRD4,PTK2B
BRD4,RAB11FIP1
BRD4,TACC1
BRD4,AP3M2
BRD4,SLC20A2
BRD4,LYN
BRD4,EXT1
BRD4,NSMCE2
BRD4,DENND3
BRD4,MIS18BP1
BRD4,FUT8
BRD4,PSEN1
BRD4,ZNF410
BRD4,SPTLC2
BRD4,CRIP1
BRD4,CHMP1B
BRD4,BCL2
BRD4,ADAM17
BRD4,UBXN2A
BRD4,DTNB
BRD4,RBKS
BRD4,TTC27
BRD4,PRKD3
BRD4,MAP4K3
BRD4,PREPL
BRD4,CAMKMT
BRD4,SRBD1
BRD4,PRKCE
BRD4,RHOQ
BRD4,ACYP2
BRD4,MXD1
BRD4,TBC1D8
BRD4,LIMS1
BRD4,SPOPL
BRD4,BAZ2B
BRD4,TANK
BRD4,CCDC173
BRD4,ITGA6
BRD4,STAT1
BRD4,CREB1
BRD4,PLEKHM3
BRD4,RHBDD1
BRD4,ANKMY1
BRD4,NEDD9
BRD4,CD83
BRD4,ANKS1A
BRD4,SUPT3H
BRD4,CYB5R4
BRD4,STX11
BRD4,EZR
BRD4,FBXL5
BRD4,SEL1L3
BRD4,RHOH
